dms_orig,dms_dest,wgt_dist
050,229,423
050,230,1720
050,241,1104
050,242,1091
050,249,1156
050,251,1515
050,259,1458
050,261,895
050,262,829
050,269,917
050,271,925
050,279,1075
050,280,376
050,291,466
050,292,379
050,299,330
050,300,1742
050,311,660
050,319,771
050,321,1636
050,329,1958
050,331,1564
050,339,1521
050,341,1242
050,342,1235
050,350,1068
050,361,1341
050,362,1077
050,363,1302
050,364,1121
050,369,1278
050,371,868
050,372,900
050,373,1009
050,379,968
050,380,1298
050,391,677
050,392,880
050,393,820
050,394,738
050,399,854
050,401,423
050,402,293
050,409,437
050,411,2309
050,419,2325
050,421,1209
050,422,1005
050,423,1285
050,429,1235
050,441,1467
050,451,933
050,452,797
050,459,920
050,460,1022
050,471,196
050,472,461
050,473,645
050,479,545
050,481,590
050,482,494
050,483,753
050,484,434
050,485,1029
050,486,541
050,487,828
050,488,658
050,489,635
050,491,1567
050,499,1374
050,500,1576
050,511,1047
050,512,1066
050,513,1069
050,519,954
050,531,2346
050,532,2215
050,539,2508
050,540,932
050,551,759
050,559,852
050,560,1332
061,011,2044
061,012,2031
061,019,2111
061,020,3146
061,041,412
061,042,521
061,049,496
061,050,1756
061,061,51
061,062,504
061,063,121
061,064,482
061,065,301
061,069,357
061,081,1023
061,089,1040
061,091,2900
061,092,2861
061,099,2923
061,101,2713
061,109,2767
061,111,2640
061,121,2413
061,122,2766
061,123,2527
061,124,2455
061,129,2514
061,131,2240
061,132,2405
061,139,2397
061,160,1132
061,171,1972
061,172,1811
061,179,1907
061,181,2049
061,182,2091
061,183,2200
061,189,2081
061,190,1754
061,201,1590
061,202,1422
061,209,1471
061,211,2170
061,212,2104
061,219,2200
061,221,1800
061,222,1794
061,223,1882
061,229,1822
061,230,3366
061,241,2655
061,242,2645
061,249,2660
061,251,3001
061,259,3018
061,261,2410
061,262,2195
061,269,2488
061,271,1941
061,279,2001
061,280,1886
061,291,1650
061,292,1787
061,299,1806
061,300,1389
061,311,1493
061,319,1387
061,321,273
061,329,639
061,331,3000
061,339,3022
061,341,2754
061,342,2773
061,350,931
061,361,2826
061,362,2671
061,363,2799
061,364,2612
061,369,2877
061,371,2394
061,372,2519
061,373,2560
061,379,2445
061,380,1762
061,391,2194
061,392,2347
061,393,2273
061,394,2257
061,399,2331
061,401,1332
061,402,1445
061,409,1481
061,411,1014
061,419,949
061,421,2694
061,422,2446
061,423,2715
061,429,2608
061,441,2964
061,451,2474
061,452,2372
061,459,2420
061,460,1570
061,471,1812
061,472,1952
061,473,2188
061,479,2239
061,481,1419
061,482,1755
061,483,1516
061,484,1483
061,485,833
061,486,1632
061,487,1532
061,488,1418
061,489,1425
061,491,763
061,499,631
061,500,3110
061,511,2607
061,512,2686
061,513,2619
061,519,2630
061,531,1189
061,532,1056
061,539,1377
061,540,2447
061,551,2039
061,559,2089
061,560,1145
062,011,2389
062,012,2414
062,019,2434
062,020,2742
062,041,835
062,042,942
062,049,827
062,050,2031
062,061,494
062,062,26
062,063,543
062,064,125
062,065,190
062,069,240
062,081,1201
062,089,1249
062,091,2923
062,092,2887
062,099,2949
062,101,2784
062,109,2851
062,111,2719
062,121,2808
062,122,3059
062,123,2882
062,124,2903
062,129,2903
062,131,2529
062,132,2743
062,139,2637
062,160,880
062,171,1995
062,172,1989
062,179,2067
062,181,2072
062,182,2199
062,183,2189
062,189,2255
062,190,1841
062,201,1775
062,202,1688
062,209,1729
062,211,2278
062,212,2268
062,219,2350
062,221,2280
062,223,2347
062,229,2248
062,230,3347
062,241,2736
062,242,2727
062,249,2649
062,251,3022
062,259,3005
062,261,2419
062,262,2227
062,269,2474
062,271,1961
062,279,1981
062,280,2319
062,291,1768
062,292,1965
062,299,2038
062,300,1326
062,311,1558
062,319,1402
062,321,505
062,329,185
062,331,3025
062,339,3002
062,341,2799
062,342,2818
062,350,1221
062,361,2846
062,362,2661
062,363,2836
062,364,2637
062,369,2968
062,371,2681
062,372,2631
062,373,2786
062,379,2701
062,380,1597
062,391,2314
062,392,2384
062,393,2373
062,394,2258
062,399,2421
062,401,1674
062,402,1807
062,409,1800
062,411,636
062,419,511
062,421,2758
062,422,2490
062,423,2746
062,429,2656
062,441,2983
062,451,2808
062,452,2626
062,459,2769
062,460,1716
062,471,2150
062,472,2296
062,473,2466
062,479,2523
062,481,1820
062,482,2053
062,483,1984
062,484,1805
062,485,1240
062,486,1982
062,487,1942
062,488,1817
062,489,1809
062,491,682
062,499,828
062,500,3093
062,511,2805
062,512,2864
062,513,2729
062,519,2690
062,531,805
062,532,647
062,539,818
062,540,2670
062,551,2063
062,559,2187
062,560,1086
063,011,2126
063,012,1954
063,019,2116
063,020,2644
063,041,368
063,042,449
063,049,505
063,050,1745
063,061,118
063,062,543
063,063,36
063,064,474
063,065,346
063,069,502
063,081,1086
063,089,1050
063,091,3092
063,092,3103
063,099,3143
063,101,3000
063,109,3042
063,111,2878
063,121,2619
063,122,2852
063,123,2730
063,124,2751
063,129,2636
063,131,2386
063,132,2742
063,139,2558
063,151,2450
063,159,2411
063,160,1200
063,171,2132
063,172,1902
063,179,2018
063,181,2232
063,182,2233
063,183,2340
063,189,2267
063,190,1822
063,201,1664
063,202,1403
063,209,1416
063,211,2367
063,212,2292
063,219,2374
063,221,1758
063,222,1653
063,223,1831
063,229,1689
063,230,3440
063,241,2878
063,242,2905
063,249,2895
063,251,3150
063,259,3119
063,261,2504
063,262,2344
063,269,2567
063,271,2030
063,279,2395
063,280,1843
063,291,1696
063,292,1854
063,299,1803
063,300,1400
063,311,1604
063,319,1430
063,321,408
063,329,599
063,331,3210
063,339,3270
063,341,2989
063,342,3001
063,350,1014
063,361,3001
063,362,2752
063,363,3039
063,364,2791
063,369,3040
063,371,2625
063,372,2714
063,373,2797
063,379,2734
063,380,1796
063,391,2400
063,392,2546
063,393,2474
063,394,2454
063,399,2504
063,401,1371
063,402,1483
063,409,1374
063,411,1071
063,419,1027
063,421,2935
063,422,2622
063,423,2964
063,429,2783
063,441,3124
063,451,2803
063,452,2570
063,459,2679
063,460,1800
063,471,1860
063,472,2298
063,473,2498
063,479,2346
063,481,1305
063,482,1651
063,483,1418
063,484,1376
063,485,803
063,486,1435
063,487,1429
063,488,1277
063,489,1407
063,491,746
063,499,745
063,500,3161
063,511,2884
063,512,2940
063,513,2945
063,519,2767
063,531,1223
063,532,1127
063,539,1333
063,540,2492
063,551,2240
063,559,2310
063,560,1102
064,011,2342
064,012,2364
064,019,2411
064,020,2714
064,041,767
064,042,937
064,049,866
064,050,2006
064,061,484
064,062,126
064,063,482
064,064,28
064,065,203
064,069,251
064,081,1284
064,089,1339
064,091,3044
064,092,3008
064,099,3062
064,101,2909
064,109,2945
064,111,2845
064,121,2823
064,122,3046
064,123,2872
064,124,2870
064,129,2748
064,131,2489
064,132,2704
064,139,2694
064,160,893
064,171,2124
064,172,2099
064,179,2177
064,181,2215
064,182,2330
064,183,2319
064,189,2372
064,190,1818
064,201,1877
064,202,1720
064,209,1735
064,211,2430
064,212,2364
064,219,2412
064,221,2199
064,222,2105
064,223,2287
064,229,2200
064,230,3463
064,241,2864
064,242,2857
064,249,2865
064,251,3146
064,259,3127
064,261,2551
064,262,2403
064,269,2576
064,271,2084
064,279,2142
064,280,2239
064,291,1832
064,292,2048
064,299,1988
064,300,1418
064,311,1689
064,319,1602
064,321,526
064,329,274
064,331,3153
064,339,3123
064,341,2923
064,342,2935
064,350,1235
064,361,2961
064,362,2785
064,363,2960
064,364,2808
064,369,3002
064,371,2708
064,372,2812
064,373,2834
064,379,2535
064,380,1723
064,391,2439
064,392,2550
064,393,2551
064,394,2465
064,399,2526
064,401,1645
064,402,1752
064,409,1782
064,411,666
064,419,572
064,421,2887
064,422,2612
064,423,2863
064,429,2696
064,441,3091
064,451,2779
064,452,2742
064,459,2745
064,460,1857
064,471,2112
064,472,2308
064,473,2487
064,479,2503
064,481,1761
064,482,2003
064,483,1840
064,484,1728
064,485,1249
064,486,1906
064,487,1871
064,488,1736
064,489,1812
064,491,822
064,499,914
064,500,3200
064,511,2877
064,512,2952
064,513,2842
064,519,2550
064,531,833
064,532,715
064,539,923
064,540,2753
064,551,2179
064,559,2288
064,560,1209
065,011,2204
065,019,2248
065,020,2915
065,041,638
065,042,770
065,049,662
065,050,1875
065,061,300
065,062,194
065,063,356
065,064,197
065,065,42
065,069,233
065,081,1174
065,089,1203
065,091,3059
065,092,3020
065,099,3074
065,101,2918
065,109,2890
065,111,2799
065,121,2653
065,122,2959
065,123,2661
065,124,2670
065,129,2761
065,131,2351
065,132,2563
065,139,2422
065,160,958
065,171,2131
065,172,2016
065,179,2115
065,182,2243
065,183,2303
065,189,2238
065,190,1955
065,201,1761
065,202,1671
065,209,1554
065,212,2272
065,219,2307
065,221,2031
065,223,2176
065,229,2047
065,230,3536
065,241,2989
065,242,2806
065,249,2792
065,251,3171
